k,zip_code,county,market_tier,region_bucket,urban_core_flag,actual_price,predicted_price,error_pct,confidence_score,status
3,75438,fannin,mid,dfw,0,338817.0,316616.32,6.55,0.78,OK
3,75439,fannin,mid,dfw,0,250545.0,276949.51,10.54,0.79,OK
3,75440,rains,mid,dfw,0,301491.0,247507.08,17.91,0.75,OK
3,75442,collin,mid,dfw,0,339685.0,288903.96,14.95,0.82,OK
3,75446,fannin,mid,dfw,0,246968.0,255680.67,3.53,0.85,OK
3,75447,fannin,mid,dfw,0,361071.0,266946.47,26.07,0.88,OK
3,75449,fannin,mid,dfw,0,207285.0,272376.97,31.4,0.84,OK
3,75451,camp,mid,dfw,0,240280.0,263152.83,9.52,0.85,OK
3,75452,fannin,mid,dfw,0,342080.0,335447.6,1.94,0.81,OK
3,75453,hunt,mid,dfw,0,279022.0,298659.9,7.04,0.84,OK
3,75454,collin,high,dfw,0,435512.0,544943.99,25.13,0.84,OK
3,75455,titus,mid,dfw,0,221561.0,258738.6,16.78,0.89,OK
3,75457,franklin,mid,dfw,0,274099.0,299580.69,9.3,0.81,OK
3,75459,grayson,mid,dfw,0,306016.0,279130.97,8.79,0.79,OK
3,75460,lamar,low,dfw,0,126038.0,158803.4,26.0,0.66,OK
3,75462,lamar,mid,dfw,0,273666.0,233817.65,14.56,0.85,OK
3,75468,lamar,mid,dfw,0,304062.0,245943.54,19.11,0.87,OK
3,75471,hopkins,mid,dfw,0,328152.0,281126.82,14.33,0.89,OK
3,75472,rains,mid,dfw,0,253034.0,298915.0,18.13,0.86,OK
3,75473,lamar,mid,dfw,0,276488.0,262546.55,5.04,0.79,OK
3,75474,hunt,mid,dfw,0,237780.0,233434.79,1.83,0.85,OK
3,75476,fannin,mid,dfw,0,370284.0,249317.93,32.67,0.87,OK
3,75477,lamar,low,dfw,0,166642.0,197640.19,18.6,0.57,OK
3,75478,hopkins,mid,dfw,0,308152.0,297468.94,3.47,0.89,OK
3,75479,fannin,mid,dfw,0,292175.0,261666.02,10.44,0.84,OK
3,75480,franklin,high,dfw,0,524617.0,487375.23,7.1,0.8,OK
3,75482,hopkins,mid,dfw,0,241294.0,276236.78,14.48,0.88,OK
3,75486,lamar,mid,dfw,0,305712.0,245902.04,19.56,0.87,OK
3,75488,fannin,mid,dfw,0,370766.0,294524.7,20.56,0.79,OK
3,75490,fannin,mid,dfw,0,390344.0,277261.76,28.97,0.89,OK
3,75491,grayson,mid,dfw,0,339630.0,327449.71,3.59,0.81,OK
3,75492,fannin,mid,dfw,0,256904.0,251816.93,1.98,0.87,OK
3,75494,wood,mid,dfw,0,260796.0,312678.14,19.89,0.77,OK
3,75495,grayson,high,dfw,0,432235.0,488600.03,13.04,0.84,OK
3,75496,hunt,mid,dfw,0,261311.0,272500.22,4.28,0.82,OK
3,75497,wood,mid,dfw,0,370146.0,312535.18,15.56,0.8,OK
3,75501,bowie,low,dfw,0,151560.0,179947.73,18.73,0.89,OK
3,75503,bowie,mid,dfw,0,254682.0,331017.15,29.97,0.86,OK
3,75551,cass,low,dfw,0,158861.0,174767.74,10.01,0.87,OK
3,75554,red river,mid,dfw,0,206927.0,249914.38,20.77,0.86,OK
3,75555,cass,mid,dfw,0,176537.0,178740.22,1.25,0.85,OK
3,75558,titus,mid,dfw,0,267487.0,218535.51,18.3,0.88,OK
3,75559,bowie,mid,dfw,0,190369.0,193668.79,1.73,0.86,OK
3,75561,bowie,low,dfw,0,161017.0,171019.1,6.21,0.83,OK
3,75563,cass,low,dfw,0,137787.0,148248.49,7.59,0.81,OK
3,75567,bowie,mid,dfw,0,191901.0,188905.23,1.56,0.84,OK
3,75568,morris,low,dfw,0,155603.0,171718.97,10.36,0.86,OK
3,75569,bowie,low,dfw,0,156047.0,181562.29,16.35,0.88,OK
3,75570,bowie,low,dfw,0,171754.0,183495.62,6.84,0.89,OK
3,75571,morris,mid,dfw,0,182708.0,187562.75,2.66,0.87,OK
3,75572,cass,low,dfw,0,151639.0,175039.87,15.43,0.87,OK
3,75573,bowie,low,dfw,0,174088.0,183717.76,5.53,0.88,OK
3,75574,bowie,mid,dfw,0,199379.0,191667.34,3.87,0.86,OK
3,75601,gregg,mid,dfw,0,208090.0,228203.41,9.67,0.85,OK
3,75602,gregg,low,dfw,0,137273.0,182121.49,32.67,0.88,OK
3,75603,gregg,mid,dfw,0,234521.0,264795.83,12.91,0.82,OK
3,75604,gregg,mid,dfw,0,215266.0,231834.67,7.7,0.86,OK
3,75605,gregg,mid,dfw,0,280916.0,316022.28,12.5,0.85,OK
3,75630,cass,low,dfw,0,142812.0,175372.48,22.8,0.87,OK
3,75631,panola,mid,dfw,0,206130.0,226178.61,9.73,0.89,OK
3,75633,panola,mid,dfw,0,192642.0,191340.16,0.68,0.87,OK
3,75638,morris,low,dfw,0,164110.0,173484.69,5.71,0.86,OK
3,75639,panola,mid,dfw,0,179218.0,180556.29,0.75,0.82,OK
3,75640,upshur,mid,dfw,0,278272.0,321382.5,15.49,0.81,OK
3,75643,panola,mid,dfw,0,200787.0,238015.58,18.54,0.86,OK
3,75644,upshur,mid,dfw,0,210858.0,246450.96,16.88,0.84,OK
3,75645,upshur,mid,dfw,0,264261.0,236398.37,10.54,0.8,OK
3,75647,gregg,mid,dfw,0,205761.0,240707.86,16.98,0.84,OK
3,75650,harrison,mid,dfw,0,285904.0,303974.97,6.32,0.77,OK
3,75651,harrison,mid,dfw,0,209843.0,223260.24,6.39,0.88,OK
3,75652,rusk,mid,dfw,0,182917.0,202772.11,10.85,0.87,OK
3,75654,rusk,mid,dfw,0,214495.0,223488.03,4.19,0.83,OK
3,75656,cass,low,dfw,0,164840.0,166326.88,0.9,0.87,OK
3,75657,marion,low,dfw,0,151825.0,166919.93,9.94,0.81,OK
3,75661,harrison,low,dfw,0,164817.0,155183.63,5.84,0.88,OK
3,75662,gregg,mid,dfw,0,208549.0,246353.41,18.13,0.84,OK
3,75667,rusk,mid,dfw,0,227894.0,238652.64,4.72,0.85,OK
3,75668,morris,low,dfw,0,102535.0,142089.78,38.58,0.74,OK
3,75669,panola,mid,dfw,0,216391.0,237844.19,9.91,0.86,OK
3,75670,harrison,low,dfw,0,114359.0,147816.44,29.26,0.81,OK
3,75672,harrison,mid,dfw,0,201215.0,257509.05,27.98,0.85,OK
3,75681,rusk,mid,dfw,0,203812.0,239264.3,17.39,0.86,OK
3,75683,upshur,low,dfw,0,156208.0,189585.47,21.37,0.88,OK
3,75684,rusk,mid,dfw,0,175159.0,198323.56,13.22,0.87,OK
3,75686,camp,mid,dfw,0,209899.0,229337.65,9.26,0.84,OK
3,75691,rusk,mid,dfw,0,243326.0,226606.92,6.87,0.85,OK
3,75692,harrison,mid,dfw,0,179188.0,191028.92,6.61,0.85,OK
3,75693,gregg,mid,dfw,0,240839.0,230306.57,4.37,0.85,OK
3,75701,smith,mid,dfw,0,221300.0,257061.2,16.16,0.83,OK
3,75702,smith,low,dfw,0,126945.0,169270.93,33.34,0.87,OK
3,75703,smith,mid,dfw,0,349706.0,290338.21,16.98,0.86,OK
3,75704,smith,mid,dfw,0,247930.0,229758.95,7.33,0.87,OK
3,75705,smith,mid,dfw,0,207937.0,255997.53,23.11,0.84,OK
3,75706,smith,mid,dfw,0,248748.0,232967.56,6.34,0.86,OK
3,75707,smith,mid,dfw,0,304514.0,288130.58,5.38,0.83,OK
3,75708,smith,mid,dfw,0,176769.0,203217.68,14.96,0.85,OK
3,75709,smith,mid,dfw,0,278693.0,262680.99,5.75,0.84,OK
3,75750,smith,mid,dfw,0,234394.0,274944.76,17.3,0.89,OK
3,75751,henderson,mid,dfw,0,209278.0,271735.78,29.84,0.87,OK
3,75752,henderson,mid,dfw,0,334401.0,311008.8,7.0,0.81,OK
3,75754,van zandt,mid,dfw,0,304057.0,293963.58,3.32,0.8,OK
3,75755,upshur,mid,dfw,0,212986.0,232069.76,8.96,0.83,OK
3,75756,henderson,mid,dfw,0,274614.0,287362.15,4.64,0.79,OK
3,75757,smith,mid,dfw,0,367291.0,289358.95,21.22,0.89,OK
3,75758,henderson,mid,dfw,0,262758.0,286241.38,8.94,0.81,OK
3,75760,nacogdoches,mid,dfw,0,192617.0,192642.93,0.01,0.84,OK
3,75762,smith,mid,dfw,0,308350.0,250803.95,18.66,0.73,OK
3,75763,anderson,mid,dfw,0,255143.0,265342.94,4.0,0.78,OK
3,75765,wood,mid,dfw,0,251292.0,239009.06,4.89,0.86,OK
3,75766,cherokee,mid,dfw,0,204503.0,250864.74,22.67,0.84,OK
3,75770,henderson,mid,dfw,0,352507.0,289636.81,17.84,0.8,OK
3,75771,smith,mid,dfw,0,303286.0,327507.27,7.99,0.84,OK
3,75773,wood,mid,dfw,0,260418.0,244369.85,6.16,0.85,OK
