zip_code,county,latitude,longitude,avg_property_value,median_income,median_rent,population_change_pct,owner_share_pct,zhvi_1y_change_pct,zhvi_5y_change_pct,price_to_rent_ratio,listing_count,average_sqft,market_tier,region_bucket,urban_core_flag
79350,lubbock,33.731452,-101.825896,135236,70417,0,-26.9,97.7,-2.52,-7.21,0,0,0,low,WestTexas,0
79355,yoakum,33.166024,-102.894785,172404,74172,0,4.4,67.3,-3.16,-12.62,0,0,0,low,WestTexas,0
79356,garza,33.28459,-101.342082,110471,48466,0,-5.2,69.8,-2.5,-19.68,0,0,0,low,WestTexas,0
79357,crosby,33.646471,-101.405761,79788,56875,0,-2.7,76.1,1.23,0,0,0,0,low,WestTexas,0
79358,hockley,33.421975,-102.190949,257782,88017,0,3.3,75.5,2.55,23.73,0,0,0,mid,WestTexas,0
79359,gaines,32.923636,-102.544132,110296,52485,0,4.3,68.0,-13.43,0,0,0,0,low,WestTexas,0
79360,gaines,32.690084,-102.724302,248226,85360,0,2.5,81.5,0.35,21.2,0,0,0,mid,WestTexas,0
79363,lubbock,33.707731,-102.045021,291708,93320,0,5.9,83.4,2.54,19.66,0,0,0,mid,WestTexas,0
79364,lubbock,33.445551,-101.631946,134905,55221,0,-5.4,70.1,0.74,13.85,0,0,0,low,WestTexas,0
79366,lubbock,33.530315,-101.685343,371255,111458,0,0.7,98.5,1.11,25.64,0,0,0,mid,WestTexas,0
79367,hockley,33.589372,-102.168055,164554,53143,0,0.7,62.4,-3.94,0,0,0,0,low,WestTexas,0
79370,dickens,33.444643,-100.929803,95623,50313,0,4.4,83.1,3.88,0,0,0,0,low,WestTexas,0
79371,lamb,33.979698,-102.69717,134323,62014,0,5.6,79.5,-7.65,0.33,0,0,0,low,WestTexas,0
79372,hockley,33.424804,-102.501112,139104,70000,0,-0.7,72.9,-2.12,0,0,0,0,low,WestTexas,0
79373,lynn,33.158706,-101.839339,164018,56182,0,4.3,75.8,20.21,1.01,0,0,0,low,WestTexas,0
79379,cochran,33.495033,-102.653489,62569,49167,0,-2.6,82.1,-24.64,0,0,0,0,low,WestTexas,0
79381,lynn,33.312912,-101.770523,324281,67381,0,-2.9,84.1,3.07,12.56,0,0,0,mid,WestTexas,0
79382,lubbock,33.468919,-102.01762,263457,80625,1511,14.5,78.4,2.53,22.34,14.53,0,0,mid,WestTexas,0
79401,lubbock,33.586821,-101.851834,148762,27255,1130,-8.4,11.5,-1.88,12.62,10.97,0,0,low,WestTexas,0
79403,lubbock,33.643534,-101.758167,97822,45343,1113,-1.6,60.9,-2.2,-2.89,7.32,0,0,low,WestTexas,0
79404,lubbock,33.527702,-101.793717,95261,48642,0,-2.8,64.6,-3.54,11.87,0,0,0,low,WestTexas,0
79407,lubbock,33.56146,-102.085741,223438,64778,1508,-3.1,44.7,1.81,21.47,12.35,0,0,mid,WestTexas,0
79410,lubbock,33.570071,-101.891011,181621,48350,1536,-0.7,34.4,-2.11,28.7,9.85,0,0,mid,WestTexas,0
79411,lubbock,33.570115,-101.857732,96880,44866,1139,-0.9,31.3,-8.09,12.16,7.09,0,0,low,WestTexas,0
79412,lubbock,33.546383,-101.856516,117030,47306,932,0.8,47.5,-4.76,12.49,10.46,0,0,low,WestTexas,0
79413,lubbock,33.545748,-101.889936,189925,67062,1459,-0.3,58.0,-0.5,21.5,10.85,0,0,mid,WestTexas,0
79414,lubbock,33.547794,-101.92023,149276,49637,1174,-3.1,33.9,-2.1,19.16,10.6,0,0,low,WestTexas,0
79415,lubbock,33.700795,-101.896988,98819,37101,862,-1.9,39.1,-4.34,10.33,9.55,0,0,low,WestTexas,0
79416,lubbock,33.60003,-101.982853,202566,65200,1423,2.6,48.3,-0.02,22.37,11.86,0,0,mid,WestTexas,0
79423,lubbock,33.439984,-101.855476,230837,82906,1448,4.9,70.4,0.93,20.34,13.28,0,0,mid,WestTexas,0
79424,lubbock,33.465175,-101.935271,294712,94703,1541,3.7,69.1,2.39,24.2,15.94,0,0,mid,WestTexas,0
79501,jones,32.740591,-99.890392,132666,56547,0,-0.5,82.6,-4.92,7.96,0,0,0,low,WestTexas,0
79502,stonewall,33.182154,-100.263878,89487,50833,0,-9.7,85.2,11.08,0,0,0,0,low,WestTexas,0
79504,callahan,32.310489,-99.353711,190269,67740,0,-5.8,77.8,6.79,6.55,0,0,0,mid,WestTexas,0
79506,nolan,32.117436,-100.330036,137055,60268,0,-10.1,77.8,-2.66,0,0,0,0,low,WestTexas,0
79508,taylor,32.270042,-99.830336,242774,78617,0,-5.7,86.3,5.56,30.2,0,0,0,mid,WestTexas,0
79510,callahan,32.266413,-99.518894,215516,71032,0,1.0,83.6,6.4,17.9,0,0,0,mid,WestTexas,0
79511,howard,32.434136,-101.26903,191670,108438,0,66.6,89.3,9.38,-1.02,0,0,0,mid,WestTexas,0
79512,mitchell,32.323175,-100.931991,97938,55855,0,-2.6,79.9,3.27,-10.7,0,0,0,low,WestTexas,0
79520,jones,32.876994,-100.128483,104101,62390,0,0.9,71.1,-8.5,13.93,0,0,0,low,WestTexas,0
79521,haskell,33.120371,-99.631772,96264,61609,0,3.3,68.4,8.19,12.28,0,0,0,low,WestTexas,0
79525,jones,32.660278,-99.826967,238429,88972,0,3.4,96.9,-1.54,20.24,0,0,0,mid,WestTexas,0
79526,scurry,32.650372,-100.756424,201069,71818,0,3.4,85.6,6.94,8.23,0,0,0,mid,WestTexas,0
79527,scurry,32.595492,-101.099466,168080,83125,0,-34.7,95.3,3.31,-7.76,0,0,0,low,WestTexas,0
79529,knox,33.435018,-99.8295,90292,41023,0,-7.1,66.1,10.3,0,0,0,0,low,WestTexas,0
79530,taylor,32.103908,-99.779744,193335,68021,0,-13.7,88.1,1.5,25.13,0,0,0,mid,WestTexas,0
79532,mitchell,32.408016,-100.714264,94451,43393,0,34.5,76.5,-6.97,0,0,0,0,low,WestTexas,0
79536,taylor,32.474124,-100.024523,179765,71346,0,-0.7,80.1,-0.37,29.51,0,0,0,mid,WestTexas,0
79541,taylor,32.147788,-99.810223,427027,68062,0,14.3,82.7,3.76,35.91,0,0,0,high,WestTexas,0
79543,fisher,32.720841,-100.380112,108770,70842,0,-3.4,83.9,19.28,0,0,0,0,low,WestTexas,0
79544,haskell,33.293231,-99.858473,78187,45625,0,-23.7,95.2,3.16,0,0,0,0,low,WestTexas,0
79545,nolan,32.415212,-100.573539,134772,55667,0,-5.1,84.3,3.77,12.0,0,0,0,low,WestTexas,0
79546,fisher,32.880122,-100.488267,63620,57171,0,-5.0,75.9,9.69,0,0,0,0,low,WestTexas,0
79547,haskell,33.197744,-99.905443,61401,33194,0,0.2,82.0,-9.87,0,0,0,0,low,WestTexas,0
79549,scurry,32.89857,-100.93202,132988,59559,0,-0.7,76.4,-0.98,7.43,0,0,0,low,WestTexas,0
79553,jones,32.940917,-99.850965,95747,45489,0,-0.3,62.8,-12.9,-16.36,0,0,0,low,WestTexas,0
79556,nolan,32.485191,-100.392114,108105,48582,0,-0.2,63.9,0.23,-16.18,0,0,0,low,WestTexas,0
79561,taylor,32.512808,-100.176641,149557,80000,0,9.4,82.8,-2.34,17.6,0,0,0,low,WestTexas,0
